Team_A,Team_B,Score_A,Score_B,Winner
Golden State Warriors,Houston Rockets,127,121,Golden State Warriors
Cleveland Cavaliers,Milwaukee Bucks,114,113,Cleveland Cavaliers
Minnesota Timberwolves,San Antonio Spurs,103,113,San Antonio Spurs
Miami Heat,Washington Wizards,118,98,Miami Heat
Utah Jazz,Denver Nuggets,103,129,Denver Nuggets
Portland Trail Blazers,Phoenix Suns,97,103,Phoenix Suns
Oklahoma City Thunder,Los Angeles Clippers,105,92,Oklahoma City Thunder
Detroit Pistons,Brooklyn Nets,106,92,Detroit Pistons
Atlanta Hawks,New Orleans Pelicans,126,111,Atlanta Hawks
Orlando Magic,Dallas Mavericks,85,108,Dallas Mavericks
Milwaukee Bucks,Cleveland Cavaliers,114,116,Cleveland Cavaliers
Golden State Warriors,Washington Wizards,125,112,Golden State Warriors
Los Angeles Lakers,Detroit Pistons,103,115,Detroit Pistons
Boston Celtics,Atlanta Hawks,123,93,Boston Celtics
Memphis Grizzlies,Brooklyn Nets,104,106,Brooklyn Nets
Sacramento Kings,Miami Heat,111,110,Sacramento Kings
Utah Jazz,Chicago Bulls,135,126,Utah Jazz
New York Knicks,Houston Rockets,97,109,Houston Rockets
Charlotte Hornets,Minnesota Timberwolves,93,114,Minnesota Timberwolves
Orlando Magic,Oklahoma City Thunder,86,102,Oklahoma City Thunder
Portland Trail Blazers,New Orleans Pelicans,118,100,Portland Trail Blazers
Indiana Pacers,Dallas Mavericks,134,127,Indiana Pacers
Toronto Raptors,Denver Nuggets,119,121,Denver Nuggets
Philadelphia 76ers,Phoenix Suns,116,118,Phoenix Suns
San Antonio Spurs,Los Angeles Clippers,104,113,Los Angeles Clippers
Detroit Pistons,Charlotte Hornets,107,108,Charlotte Hornets
Orlando Magic,Indiana Pacers,111,118,Indiana Pacers
New York Knicks,Atlanta Hawks,116,121,Atlanta Hawks
Golden State Warriors,Boston Celtics,118,112,Golden State Warriors
San Antonio Spurs,Houston Rockets,100,127,Houston Rockets
Los Angeles Lakers,Memphis Grizzlies,114,131,Memphis Grizzlies
Cleveland Cavaliers,New Orleans Pelicans,131,122,Cleveland Cavaliers
Chicago Bulls,Dallas Mavericks,99,119,Dallas Mavericks
Oklahoma City Thunder,Denver Nuggets,122,124,Denver Nuggets
Miami Heat,Phoenix Suns,112,115,Phoenix Suns
Philadelphia 76ers,Los Angeles Clippers,98,110,Los Angeles Clippers
Toronto Raptors,Sacramento Kings,107,122,Sacramento Kings
Minnesota Timberwolves,Chicago Bulls,135,119,Minnesota Timberwolves
Utah Jazz,Milwaukee Bucks,100,123,Milwaukee Bucks
Portland Trail Blazers,San Antonio Spurs,105,118,San Antonio Spurs
Indiana Pacers,Charlotte Hornets,83,103,Charlotte Hornets
Atlanta Hawks,Detroit Pistons,121,122,Detroit Pistons
New Orleans Pelicans,Orlando Magic,88,115,Orlando Magic
Brooklyn Nets,Boston Celtics,104,108,Boston Celtics
Golden State Warriors,Cleveland Cavaliers,117,136,Cleveland Cavaliers
Milwaukee Bucks,New York Knicks,94,116,New York Knicks
Phoenix Suns,Dallas Mavericks,114,113,Phoenix Suns
Washington Wizards,Memphis Grizzlies,104,128,Memphis Grizzlies
Houston Rockets,Oklahoma City Thunder,107,126,Oklahoma City Thunder
Portland Trail Blazers,Minnesota Timberwolves,102,127,Minnesota Timberwolves
Miami Heat,Denver Nuggets,122,135,Denver Nuggets
Philadelphia 76ers,Los Angeles Lakers,106,116,Los Angeles Lakers
Los Angeles Clippers,Sacramento Kings,107,98,Los Angeles Clippers
Utah Jazz,San Antonio Spurs,111,110,Utah Jazz
Chicago Bulls,Atlanta Hawks,125,113,Chicago Bulls
