Team_A,Team_B,Score_A,Score_B,Winner
Houston Rockets,Charlotte Hornets,114,101,Houston Rockets
Utah Jazz,Cleveland Cavaliers,113,124,Cleveland Cavaliers
Boston Celtics,Orlando Magic,104,108,Orlando Magic
San Antonio Spurs,Philadelphia 76ers,106,111,Philadelphia 76ers
Minnesota Timberwolves,Atlanta Hawks,104,117,Atlanta Hawks
Brooklyn Nets,Miami Heat,95,110,Miami Heat
Toronto Raptors,New York Knicks,125,139,New York Knicks
Milwaukee Bucks,Chicago Bulls,112,91,Milwaukee Bucks
Los Angeles Clippers,Memphis Grizzlies,114,110,Los Angeles Clippers
Washington Wizards,Oklahoma City Thunder,105,123,Oklahoma City Thunder
Portland Trail Blazers,Dallas Mavericks,108,132,Portland Trail Blazers
Phoenix Suns,Denver Nuggets,90,117,Denver Nuggets
Indiana Pacers,Golden State Warriors,111,105,Indiana Pacers
Detroit Pistons,Los Angeles Lakers,117,114,Detroit Pistons
San Antonio Spurs,New York Knicks,114,117,New York Knicks
Minnesota Timberwolves,Dallas Mavericks,105,99,Minnesota Timberwolves
Philadelphia 76ers,Boston Celtics,118,114,Philadelphia 76ers
Los Angeles Lakers,Golden State Warriors,115,113,Los Angeles Lakers
Denver Nuggets,Phoenix Suns,100,110,Phoenix Suns
Oklahoma City Thunder,Indiana Pacers,120,114,Oklahoma City Thunder
Miami Heat,Orlando Magic,89,88,Miami Heat
Charlotte Hornets,Washington Wizards,110,113,Washington Wizards
Chicago Bulls,Atlanta Hawks,133,141,Atlanta Hawks
Toronto Raptors,Memphis Grizzlies,126,155,Memphis Grizzlies
Brooklyn Nets,Milwaukee Bucks,111,105,Brooklyn Nets
Houston Rockets,New Orleans Pelicans,128,111,Houston Rockets
Utah Jazz,Portland Trail Blazers,120,122,Portland Trail Blazers
Detroit Pistons,Sacramento Kings,114,113,Detroit Pistons
New York Knicks,Orlando Magic,108,85,New York Knicks
Indiana Pacers,Boston Celtics,105,142,Boston Celtics
San Antonio Spurs,Brooklyn Nets,96,87,San Antonio Spurs
Minnesota Timberwolves,Houston Rockets,113,112,Minnesota Timberwolves
Memphis Grizzlies,New Orleans Pelicans,132,124,Memphis Grizzlies
Cleveland Cavaliers,Denver Nuggets,149,135,Cleveland Cavaliers
Dallas Mavericks,Phoenix Suns,98,89,Dallas Mavericks
Golden State Warriors,Los Angeles Clippers,92,102,Los Angeles Clippers
Miami Heat,Atlanta Hawks,110,120,Atlanta Hawks
Oklahoma City Thunder,Charlotte Hornets,106,94,Oklahoma City Thunder
New York Knicks,Washington Wizards,136,132,New York Knicks
Milwaukee Bucks,Chicago Bulls,111,116,Chicago Bulls
Phoenix Suns,Golden State Warriors,105,109,Phoenix Suns
Detroit Pistons,Denver Nuggets,121,134,Denver Nuggets
Philadelphia 76ers,Utah Jazz,114,111,Philadelphia 76ers
Dallas Mavericks,Portland Trail Blazers,122,126,Portland Trail Blazers
Sacramento Kings,Los Angeles Lakers,122,132,Los Angeles Lakers
Brooklyn Nets,Orlando Magic,101,102,Orlando Magic
Indiana Pacers,Boston Celtics,123,114,Indiana Pacers
Atlanta Hawks,Toronto Raptors,136,107,Atlanta Hawks
Miami Heat,Houston Rockets,104,100,Miami Heat
Memphis Grizzlies,Oklahoma City Thunder,106,130,Oklahoma City Thunder
San Antonio Spurs,Minnesota Timberwolves,110,112,San Antonio Spurs
Chicago Bulls,Charlotte Hornets,115,108,Chicago Bulls
New York Knicks,Washington Wizards,126,106,New York Knicks
Los Angeles Clippers,New Orleans Pelicans,116,113,Los Angeles Clippers
Denver Nuggets,Utah Jazz,132,121,Denver Nuggets
Cleveland Cavaliers,Golden State Warriors,113,95,Cleveland Cavaliers
Philadelphia 76ers,Portland Trail Blazers,125,103,Philadelphia 76ers
Dallas Mavericks,Sacramento Kings,100,110,Sacramento Kings
Toronto Raptors,Boston Celtics,71,125,Boston Celtics
Milwaukee Bucks,Indiana Pacers,120,112,Milwaukee Bucks
Los Angeles Clippers,San Antonio Spurs,86,122,San Antonio Spurs
Minnesota Timberwolves,Oklahoma City Thunder,105,113,Oklahoma City Thunder
Memphis Grizzlies,Phoenix Suns,117,112,Memphis Grizzlies
Cleveland Cavaliers,Los Angeles Lakers,122,110,Cleveland Cavaliers
Orlando Magic,Detroit Pistons,96,105,Detroit Pistons
Chicago Bulls,Washington Wizards,107,125,Washington Wizards
New Orleans Pelicans,Miami Heat,108,119,Miami Heat
Utah Jazz,New York Knicks,103,119,New York Knicks
Brooklyn Nets,Toronto Raptors,113,130,Toronto Raptors
Dallas Mavericks,Houston Rockets,99,110,Houston Rockets
Atlanta Hawks,Denver Nuggets,120,139,Denver Nuggets
Philadelphia 76ers,Sacramento Kings,107,113,Sacramento Kings
Indiana Pacers,Miami Heat,128,115,Indiana Pacers
Boston Celtics,Minnesota Timberwolves,118,115,Boston Celtics
Brooklyn Nets,Milwaukee Bucks,113,110,Brooklyn Nets
Los Angeles Clippers,Oklahoma City Thunder,98,116,Oklahoma City Thunder
Philadelphia 76ers,Golden State Warriors,105,139,Golden State Warriors
Portland Trail Blazers,Los Angeles Lakers,106,114,Los Angeles Lakers
Charlotte Hornets,Detroit Pistons,94,98,Detroit Pistons
Orlando Magic,Toronto Raptors,106,97,Orlando Magic
Boston Celtics,Houston Rockets,109,86,Boston Celtics
Washington Wizards,New Orleans Pelicans,120,132,New Orleans Pelicans
New York Knicks,Oklahoma City Thunder,107,117,Oklahoma City Thunder
Cleveland Cavaliers,Dallas Mavericks,134,122,Cleveland Cavaliers
San Antonio Spurs,Denver Nuggets,113,110,San Antonio Spurs
Memphis Grizzlies,Sacramento Kings,133,138,Sacramento Kings
Atlanta Hawks,Los Angeles Lakers,102,119,Los Angeles Lakers
Philadelphia 76ers,Brooklyn Nets,123,94,Philadelphia 76ers
Minnesota Timberwolves,Detroit Pistons,105,119,Detroit Pistons
Phoenix Suns,Indiana Pacers,108,126,Indiana Pacers
Utah Jazz,Miami Heat,136,100,Utah Jazz
New York Knicks,Chicago Bulls,126,139,Chicago Bulls
Portland Trail Blazers,Milwaukee Bucks,105,102,Portland Trail Blazers
Denver Nuggets,San Antonio Spurs,122,111,Denver Nuggets
Memphis Grizzlies,Golden State Warriors,113,121,Golden State Warriors
Atlanta Hawks,Los Angeles Clippers,105,131,Los Angeles Clippers
Boston Celtics,Oklahoma City Thunder,92,105,Oklahoma City Thunder
Charlotte Hornets,Cleveland Cavaliers,105,115,Cleveland Cavaliers
New Orleans Pelicans,Washington Wizards,110,98,New Orleans Pelicans
Utah Jazz,Orlando Magic,105,92,Utah Jazz
Los Angeles Lakers,Houston Rockets,115,119,Houston Rockets
Sacramento Kings,Golden State Warriors,129,99,Sacramento Kings
Portland Trail Blazers,Detroit Pistons,115,118,Detroit Pistons
Phoenix Suns,Philadelphia 76ers,109,99,Phoenix Suns
Indiana Pacers,Brooklyn Nets,113,99,Indiana Pacers
Orlando Magic,New York Knicks,103,94,Orlando Magic
Milwaukee Bucks,Toronto Raptors,128,104,Milwaukee Bucks
San Antonio Spurs,Chicago Bulls,110,114,San Antonio Spurs
Dallas Mavericks,Memphis Grizzlies,104,119,Memphis Grizzlies
Los Angeles Clippers,Minnesota Timberwolves,106,108,Minnesota Timberwolves
Miami Heat,Sacramento Kings,118,123,Miami Heat
Phoenix Suns,Charlotte Hornets,104,115,Charlotte Hornets
Houston Rockets,Washington Wizards,135,112,Houston Rockets
Los Angeles Lakers,Dallas Mavericks,97,118,Los Angeles Lakers
Minnesota Timberwolves,New Orleans Pelicans,104,97,Minnesota Timberwolves
Atlanta Hawks,Utah Jazz,124,121,Atlanta Hawks
Boston Celtics,Denver Nuggets,118,106,Boston Celtics
Miami Heat,Golden State Warriors,114,98,Miami Heat
Oklahoma City Thunder,Cleveland Cavaliers,122,129,Oklahoma City Thunder
Chicago Bulls,Indiana Pacers,113,129,Indiana Pacers
Toronto Raptors,New York Knicks,98,112,New York Knicks
Washington Wizards,Philadelphia 76ers,103,109,Philadelphia 76ers
Detroit Pistons,Brooklyn Nets,113,98,Detroit Pistons
Portland Trail Blazers,New Orleans Pelicans,119,100,Portland Trail Blazers
Los Angeles Clippers,Denver Nuggets,103,126,Denver Nuggets
San Antonio Spurs,Milwaukee Bucks,105,121,San Antonio Spurs
Toronto Raptors,Cleveland Cavaliers,126,132,Cleveland Cavaliers
Golden State Warriors,Detroit Pistons,107,104,Golden State Warriors
Minnesota Timberwolves,Orlando Magic,104,89,Minnesota Timberwolves
Houston Rockets,Memphis Grizzlies,119,115,Houston Rockets
Portland Trail Blazers,Dallas Mavericks,111,117,Portland Trail Blazers
Atlanta Hawks,Phoenix Suns,115,123,Phoenix Suns
Miami Heat,Utah Jazz,97,92,Miami Heat
Golden State Warriors,Indiana Pacers,96,108,Indiana Pacers
Milwaukee Bucks,Orlando Magic,109,106,Milwaukee Bucks
New Orleans Pelicans,Philadelphia 76ers,123,115,New Orleans Pelicans
Sacramento Kings,Boston Celtics,114,97,Sacramento Kings
Oklahoma City Thunder,New York Knicks,126,101,Oklahoma City Thunder
Washington Wizards,Chicago Bulls,105,138,Chicago Bulls
Brooklyn Nets,Denver Nuggets,105,124,Denver Nuggets
Utah Jazz,Phoenix Suns,106,114,Phoenix Suns
Toronto Raptors,Detroit Pistons,114,123,Detroit Pistons
Memphis Grizzlies,Minnesota Timberwolves,127,125,Memphis Grizzlies
Miami Heat,Portland Trail Blazers,119,98,Miami Heat
Milwaukee Bucks,New York Knicks,106,140,New York Knicks
Denver Nuggets,Dallas Mavericks,112,101,Denver Nuggets
Sacramento Kings,Chicago Bulls,124,119,Sacramento Kings
New Orleans Pelicans,Boston Celtics,119,120,Boston Celtics
Indiana Pacers,Cleveland Cavaliers,108,93,Indiana Pacers
Philadelphia 76ers,Orlando Magic,99,104,Orlando Magic
Oklahoma City Thunder,Washington Wizards,136,95,Oklahoma City Thunder
Brooklyn Nets,Utah Jazz,111,112,Utah Jazz
Charlotte Hornets,Phoenix Suns,113,120,Phoenix Suns
Minnesota Timberwolves,Washington Wizards,120,106,Minnesota Timberwolves
Detroit Pistons,New York Knicks,124,119,Detroit Pistons
Golden State Warriors,Toronto Raptors,101,104,Toronto Raptors
Memphis Grizzlies,Houston Rockets,118,120,Houston Rockets
San Antonio Spurs,Los Angeles Lakers,126,102,San Antonio Spurs
Miami Heat,Los Angeles Clippers,98,109,Los Angeles Clippers
Cleveland Cavaliers,Indiana Pacers,127,117,Cleveland Cavaliers
Oklahoma City Thunder,Philadelphia 76ers,118,102,Oklahoma City Thunder
Phoenix Suns,Atlanta Hawks,117,122,Atlanta Hawks
New Orleans Pelicans,Chicago Bulls,119,113,New Orleans Pelicans
Sacramento Kings,Milwaukee Bucks,115,130,Milwaukee Bucks
Denver Nuggets,Dallas Mavericks,118,99,Denver Nuggets
Brooklyn Nets,Portland Trail Blazers,132,114,Brooklyn Nets
New York Knicks,Philadelphia 76ers,125,119,New York Knicks
Boston Celtics,Toronto Raptors,97,110,Toronto Raptors
Atlanta Hawks,Chicago Bulls,110,94,Atlanta Hawks
Orlando Magic,Milwaukee Bucks,93,122,Milwaukee Bucks
Golden State Warriors,Minnesota Timberwolves,116,115,Golden State Warriors
Dallas Mavericks,New Orleans Pelicans,116,119,New Orleans Pelicans
Memphis Grizzlies,San Antonio Spurs,129,115,Memphis Grizzlies
Houston Rockets,Denver Nuggets,128,108,Houston Rockets
Charlotte Hornets,Utah Jazz,117,112,Charlotte Hornets
Miami Heat,Los Angeles Lakers,108,117,Los Angeles Lakers
Brooklyn Nets,Los Angeles Clippers,67,126,Los Angeles Clippers
Indiana Pacers,Detroit Pistons,111,100,Indiana Pacers
Phoenix Suns,Washington Wizards,130,123,Phoenix Suns
Cleveland Cavaliers,Oklahoma City Thunder,114,134,Oklahoma City Thunder
Los Angeles Clippers,Portland Trail Blazers,118,89,Los Angeles Clippers
Houston Rockets,Sacramento Kings,127,132,Sacramento Kings
Orlando Magic,Boston Celtics,94,121,Boston Celtics
Minnesota Timberwolves,New York Knicks,116,99,Minnesota Timberwolves
Denver Nuggets,Miami Heat,133,113,Denver Nuggets
Toronto Raptors,Milwaukee Bucks,112,130,Milwaukee Bucks
Utah Jazz,New Orleans Pelicans,123,136,New Orleans Pelicans
Memphis Grizzlies,San Antonio Spurs,140,112,Memphis Grizzlies
Oklahoma City Thunder,Dallas Mavericks,98,106,Dallas Mavericks
Charlotte Hornets,Chicago Bulls,125,123,Charlotte Hornets
Phoenix Suns,Detroit Pistons,125,121,Phoenix Suns
Atlanta Hawks,Boston Celtics,119,115,Atlanta Hawks
Philadelphia 76ers,Indiana Pacers,102,115,Indiana Pacers
Washington Wizards,Golden State Warriors,114,122,Golden State Warriors
Cleveland Cavaliers,Minnesota Timberwolves,124,117,Cleveland Cavaliers
Houston Rockets,Portland Trail Blazers,125,103,Houston Rockets
San Antonio Spurs,Miami Heat,107,128,San Antonio Spurs
Denver Nuggets,Orlando Magic,113,100,Denver Nuggets
Philadelphia 76ers,Milwaukee Bucks,109,123,Milwaukee Bucks
Brooklyn Nets,Oklahoma City Thunder,101,127,Oklahoma City Thunder
Los Angeles Lakers,Los Angeles Clippers,102,116,Los Angeles Clippers
Chicago Bulls,Portland Trail Blazers,102,113,Portland Trail Blazers
Washington Wizards,Sacramento Kings,100,123,Sacramento Kings
Dallas Mavericks,Charlotte Hornets,105,110,Charlotte Hornets
Detroit Pistons,Houston Rockets,107,96,Detroit Pistons
Minnesota Timberwolves,Memphis Grizzlies,106,108,Memphis Grizzlies
Atlanta Hawks,New York Knicks,110,119,New York Knicks
Phoenix Suns,Cleveland Cavaliers,92,118,Cleveland Cavaliers
Boston Celtics,Golden State Warriors,125,85,Boston Celtics
Utah Jazz,New Orleans Pelicans,119,123,New Orleans Pelicans
Chicago Bulls,Los Angeles Clippers,112,99,Chicago Bulls
New York Knicks,Brooklyn Nets,99,95,New York Knicks
Portland Trail Blazers,Miami Heat,116,107,Portland Trail Blazers
Orlando Magic,Toronto Raptors,93,109,Toronto Raptors
Philadelphia 76ers,Denver Nuggets,109,144,Denver Nuggets
Washington Wizards,Los Angeles Lakers,88,111,Los Angeles Lakers
Detroit Pistons,Atlanta Hawks,114,104,Detroit Pistons
Phoenix Suns,Brooklyn Nets,108,84,Phoenix Suns
Minnesota Timberwolves,Dallas Mavericks,115,114,Minnesota Timberwolves
Cleveland Cavaliers,Houston Rockets,108,109,Houston Rockets
Charlotte Hornets,Memphis Grizzlies,120,132,Memphis Grizzlies
Utah Jazz,Oklahoma City Thunder,114,123,Oklahoma City Thunder
Golden State Warriors,Sacramento Kings,117,123,Sacramento Kings
Boston Celtics,Los Angeles Clippers,117,113,Boston Celtics
San Antonio Spurs,Indiana Pacers,140,110,San Antonio Spurs
Portland Trail Blazers,Orlando Magic,101,79,Portland Trail Blazers
Toronto Raptors,Atlanta Hawks,122,119,Toronto Raptors
Miami Heat,Milwaukee Bucks,96,125,Milwaukee Bucks
Dallas Mavericks,Oklahoma City Thunder,121,115,Dallas Mavericks
Sacramento Kings,Denver Nuggets,123,132,Denver Nuggets
Chicago Bulls,Golden State Warriors,106,131,Golden State Warriors
Boston Celtics,Los Angeles Lakers,96,117,Los Angeles Lakers
Washington Wizards,Los Angeles Clippers,93,110,Los Angeles Clippers
Portland Trail Blazers,Charlotte Hornets,102,97,Portland Trail Blazers
Cleveland Cavaliers,Philadelphia 76ers,129,132,Philadelphia 76ers
New Orleans Pelicans,Memphis Grizzlies,126,139,Memphis Grizzlies
Indiana Pacers,San Antonio Spurs,136,98,Indiana Pacers
Denver Nuggets,Minnesota Timberwolves,104,133,Minnesota Timberwolves
Boston Celtics,Dallas Mavericks,122,107,Boston Celtics
Miami Heat,Brooklyn Nets,106,97,Miami Heat
New Orleans Pelicans,Charlotte Hornets,92,123,Charlotte Hornets
Detroit Pistons,Orlando Magic,113,121,Orlando Magic
Toronto Raptors,Atlanta Hawks,117,94,Toronto Raptors
Houston Rockets,Cleveland Cavaliers,135,131,Houston Rockets
Sacramento Kings,New York Knicks,120,143,New York Knicks
Philadelphia 76ers,Chicago Bulls,109,97,Philadelphia 76ers
Utah Jazz,Memphis Grizzlies,103,125,Memphis Grizzlies
Los Angeles Lakers,Golden State Warriors,118,108,Los Angeles Lakers
Washington Wizards,Phoenix Suns,109,119,Phoenix Suns
Milwaukee Bucks,Los Angeles Clippers,117,127,Los Angeles Clippers
Oklahoma City Thunder,Portland Trail Blazers,118,108,Oklahoma City Thunder
Los Angeles Lakers,Charlotte Hornets,112,107,Los Angeles Lakers
Detroit Pistons,Cleveland Cavaliers,91,110,Cleveland Cavaliers
Houston Rockets,Boston Celtics,114,112,Houston Rockets
Sacramento Kings,Brooklyn Nets,110,96,Sacramento Kings
Orlando Magic,Miami Heat,119,125,Miami Heat
Memphis Grizzlies,New York Knicks,106,143,New York Knicks
New Orleans Pelicans,Toronto Raptors,104,113,Toronto Raptors
Denver Nuggets,Chicago Bulls,121,129,Denver Nuggets
Atlanta Hawks,Minnesota Timberwolves,92,100,Minnesota Timberwolves
Washington Wizards,Dallas Mavericks,108,130,Washington Wizards
Milwaukee Bucks,Utah Jazz,125,110,Milwaukee Bucks
Los Angeles Clippers,Phoenix Suns,109,111,Phoenix Suns
Houston Rockets,Atlanta Hawks,100,96,Houston Rockets
Los Angeles Lakers,Philadelphia 76ers,104,118,Philadelphia 76ers
Utah Jazz,Golden State Warriors,103,114,Golden State Warriors
Milwaukee Bucks,Portland Trail Blazers,112,125,Portland Trail Blazers
Brooklyn Nets,Charlotte Hornets,104,83,Brooklyn Nets
Detroit Pistons,Indiana Pacers,119,133,Indiana Pacers
Toronto Raptors,Washington Wizards,106,82,Toronto Raptors
Chicago Bulls,Boston Celtics,100,122,Boston Celtics
Cleveland Cavaliers,Miami Heat,126,106,Cleveland Cavaliers
Denver Nuggets,New York Knicks,112,122,New York Knicks
Sacramento Kings,Philadelphia 76ers,104,117,Philadelphia 76ers
Dallas Mavericks,New Orleans Pelicans,137,136,Dallas Mavericks
Los Angeles Clippers,San Antonio Spurs,128,116,Los Angeles Clippers
Minnesota Timberwolves,Phoenix Suns,121,113,Minnesota Timberwolves
Oklahoma City Thunder,Golden State Warriors,109,116,Oklahoma City Thunder
Los Angeles Lakers,Washington Wizards,134,96,Los Angeles Lakers
Atlanta Hawks,Cleveland Cavaliers,115,137,Cleveland Cavaliers
Houston Rockets,Memphis Grizzlies,119,120,Memphis Grizzlies
Minnesota Timberwolves,Utah Jazz,138,113,Minnesota Timberwolves
Orlando Magic,Portland Trail Blazers,90,119,Portland Trail Blazers
Los Angeles Clippers,Charlotte Hornets,112,104,Los Angeles Clippers
Dallas Mavericks,Detroit Pistons,102,117,Detroit Pistons
Denver Nuggets,Philadelphia 76ers,137,134,Denver Nuggets
Chicago Bulls,Toronto Raptors,122,106,Chicago Bulls
Boston Celtics,New Orleans Pelicans,118,116,Boston Celtics
Milwaukee Bucks,San Antonio Spurs,118,144,San Antonio Spurs
Phoenix Suns,Golden State Warriors,130,105,Phoenix Suns
Atlanta Hawks,Indiana Pacers,127,132,Indiana Pacers
Orlando Magic,Utah Jazz,99,113,Utah Jazz
Denver Nuggets,Charlotte Hornets,107,104,Denver Nuggets
Brooklyn Nets,Houston Rockets,110,98,Brooklyn Nets
Washington Wizards,Minnesota Timberwolves,105,103,Washington Wizards
Sacramento Kings,Oklahoma City Thunder,110,144,Oklahoma City Thunder
Los Angeles Lakers,New York Knicks,128,112,Los Angeles Lakers
Miami Heat,San Antonio Spurs,105,103,Miami Heat
Phoenix Suns,Portland Trail Blazers,108,127,Portland Trail Blazers
Chicago Bulls,Detroit Pistons,119,127,Detroit Pistons
Dallas Mavericks,Cleveland Cavaliers,101,144,Cleveland Cavaliers
Los Angeles Clippers,Toronto Raptors,108,115,Los Angeles Clippers
Boston Celtics,Philadelphia 76ers,118,110,Boston Celtics
Memphis Grizzlies,Milwaukee Bucks,132,119,Memphis Grizzlies
Washington Wizards,Charlotte Hornets,124,114,Washington Wizards
Atlanta Hawks,Detroit Pistons,132,130,Atlanta Hawks
Houston Rockets,New York Knicks,118,124,New York Knicks
San Antonio Spurs,Memphis Grizzlies,109,128,Memphis Grizzlies
Sacramento Kings,Minnesota Timberwolves,116,114,Sacramento Kings
Milwaukee Bucks,Oklahoma City Thunder,96,125,Oklahoma City Thunder
New Orleans Pelicans,Denver Nuggets,113,125,Denver Nuggets
Indiana Pacers,Utah Jazz,112,111,Indiana Pacers
Orlando Magic,Golden State Warriors,99,104,Orlando Magic
Phoenix Suns,Portland Trail Blazers,119,121,Portland Trail Blazers
Boston Celtics,Cleveland Cavaliers,112,105,Boston Celtics
Houston Rockets,Brooklyn Nets,97,99,Brooklyn Nets
Dallas Mavericks,Philadelphia 76ers,116,118,Philadelphia 76ers
New York Knicks,Toronto Raptors,121,115,New York Knicks
Miami Heat,Chicago Bulls,124,133,Chicago Bulls
Los Angeles Lakers,Los Angeles Clippers,122,97,Los Angeles Lakers
Indiana Pacers,Portland Trail Blazers,89,112,Portland Trail Blazers
Milwaukee Bucks,Charlotte Hornets,112,102,Milwaukee Bucks
Cleveland Cavaliers,Detroit Pistons,118,115,Cleveland Cavaliers
San Antonio Spurs,Atlanta Hawks,126,125,San Antonio Spurs
Washington Wizards,Brooklyn Nets,119,102,Washington Wizards
Miami Heat,Philadelphia 76ers,108,101,Miami Heat
Memphis Grizzlies,Toronto Raptors,138,107,Memphis Grizzlies
Chicago Bulls,Minnesota Timberwolves,108,127,Chicago Bulls
Phoenix Suns,Oklahoma City Thunder,109,140,Phoenix Suns
Golden State Warriors,Utah Jazz,128,131,Golden State Warriors
New Orleans Pelicans,Denver Nuggets,119,144,Denver Nuggets
Orlando Magic,Sacramento Kings,130,111,Orlando Magic
Dallas Mavericks,Boston Celtics,127,120,Dallas Mavericks
Houston Rockets,Minnesota Timberwolves,114,127,Minnesota Timberwolves
Orlando Magic,Denver Nuggets,90,112,Denver Nuggets
Golden State Warriors,Los Angeles Lakers,112,120,Los Angeles Lakers
Sacramento Kings,Portland Trail Blazers,102,108,Portland Trail Blazers
Indiana Pacers,Los Angeles Clippers,119,112,Indiana Pacers
San Antonio Spurs,Charlotte Hornets,116,117,Charlotte Hornets
Cleveland Cavaliers,Washington Wizards,134,124,Cleveland Cavaliers
Milwaukee Bucks,Atlanta Hawks,110,115,Atlanta Hawks
Miami Heat,Brooklyn Nets,86,102,Brooklyn Nets
Philadelphia 76ers,Detroit Pistons,112,125,Detroit Pistons
Toronto Raptors,Oklahoma City Thunder,109,121,Oklahoma City Thunder
Utah Jazz,Phoenix Suns,127,135,Utah Jazz
Houston Rockets,Dallas Mavericks,105,116,Dallas Mavericks
Indiana Pacers,Los Angeles Lakers,117,124,Los Angeles Lakers
San Antonio Spurs,Orlando Magic,111,112,Orlando Magic
Atlanta Hawks,Washington Wizards,125,111,Atlanta Hawks
Golden State Warriors,Chicago Bulls,132,111,Golden State Warriors
Oklahoma City Thunder,Memphis Grizzlies,125,112,Oklahoma City Thunder
Portland Trail Blazers,Minnesota Timberwolves,98,114,Minnesota Timberwolves
Boston Celtics,New York Knicks,131,104,Boston Celtics
Denver Nuggets,Phoenix Suns,122,105,Denver Nuggets
New Orleans Pelicans,Sacramento Kings,118,123,Sacramento Kings
Utah Jazz,Los Angeles Clippers,110,130,Los Angeles Clippers
Charlotte Hornets,Detroit Pistons,102,112,Detroit Pistons
Toronto Raptors,Houston Rockets,87,94,Houston Rockets
Philadelphia 76ers,Milwaukee Bucks,127,135,Milwaukee Bucks
Minnesota Timberwolves,Cleveland Cavaliers,107,128,Cleveland Cavaliers
Atlanta Hawks,Orlando Magic,112,106,Atlanta Hawks
San Antonio Spurs,Washington Wizards,131,121,San Antonio Spurs
Charlotte Hornets,Brooklyn Nets,89,97,Brooklyn Nets
Boston Celtics,Miami Heat,103,85,Boston Celtics
Golden State Warriors,Milwaukee Bucks,125,111,Golden State Warriors
New Orleans Pelicans,Oklahoma City Thunder,101,137,Oklahoma City Thunder
Sacramento Kings,Dallas Mavericks,129,128,Sacramento Kings
Portland Trail Blazers,Denver Nuggets,117,146,Portland Trail Blazers
Utah Jazz,Los Angeles Lakers,113,132,Los Angeles Lakers
Toronto Raptors,Philadelphia 76ers,106,103,Toronto Raptors
New York Knicks,Indiana Pacers,128,115,New York Knicks
Detroit Pistons,Chicago Bulls,132,92,Detroit Pistons
Memphis Grizzlies,Phoenix Suns,119,112,Memphis Grizzlies
San Antonio Spurs,Boston Celtics,103,116,San Antonio Spurs
Charlotte Hornets,Orlando Magic,86,102,Orlando Magic
Indiana Pacers,Washington Wizards,134,130,Indiana Pacers
Philadelphia 76ers,Brooklyn Nets,96,100,Philadelphia 76ers
Atlanta Hawks,New York Knicks,148,149,New York Knicks
Cleveland Cavaliers,Toronto Raptors,131,108,Cleveland Cavaliers
Detroit Pistons,Chicago Bulls,128,110,Detroit Pistons
Milwaukee Bucks,Minnesota Timberwolves,103,101,Milwaukee Bucks
Sacramento Kings,New Orleans Pelicans,119,111,Sacramento Kings
Miami Heat,Oklahoma City Thunder,101,115,Oklahoma City Thunder
Phoenix Suns,Houston Rockets,111,119,Houston Rockets
Portland Trail Blazers,Denver Nuggets,121,132,Portland Trail Blazers
Los Angeles Lakers,Utah Jazz,119,131,Los Angeles Lakers
Golden State Warriors,Dallas Mavericks,107,111,Golden State Warriors
Memphis Grizzlies,Los Angeles Clippers,114,128,Los Angeles Clippers
Golden State Warriors,Houston Rockets,105,98,Golden State Warriors
Sacramento Kings,New Orleans Pelicans,133,140,New Orleans Pelicans
Miami Heat,Dallas Mavericks,113,118,Miami Heat
Oklahoma City Thunder,Minnesota Timberwolves,101,116,Oklahoma City Thunder
Los Angeles Clippers,Utah Jazz,120,116,Los Angeles Clippers
Charlotte Hornets,Los Angeles Lakers,100,97,Charlotte Hornets
Memphis Grizzlies,Indiana Pacers,113,127,Indiana Pacers
Boston Celtics,Philadelphia 76ers,124,104,Boston Celtics
Orlando Magic,Atlanta Hawks,114,108,Orlando Magic
Cleveland Cavaliers,Brooklyn Nets,110,97,Cleveland Cavaliers
Chicago Bulls,New York Knicks,111,113,New York Knicks
Los Angeles Clippers,Milwaukee Bucks,110,116,Los Angeles Clippers
Charlotte Hornets,Denver Nuggets,115,129,Denver Nuggets
Phoenix Suns,San Antonio Spurs,109,120,San Antonio Spurs
Los Angeles Lakers,Portland Trail Blazers,110,102,Los Angeles Lakers
New York Knicks,Cleveland Cavaliers,105,142,Cleveland Cavaliers
Memphis Grizzlies,Orlando Magic,105,104,Memphis Grizzlies
Milwaukee Bucks,Washington Wizards,104,101,Milwaukee Bucks
Miami Heat,Toronto Raptors,120,111,Miami Heat
Minnesota Timberwolves,Houston Rockets,115,121,Houston Rockets
Detroit Pistons,San Antonio Spurs,125,110,Detroit Pistons
New Orleans Pelicans,Dallas Mavericks,103,111,Dallas Mavericks
Oklahoma City Thunder,Utah Jazz,130,107,Oklahoma City Thunder
Golden State Warriors,Sacramento Kings,132,108,Golden State Warriors
Phoenix Suns,Chicago Bulls,121,117,Phoenix Suns
Brooklyn Nets,Philadelphia 76ers,105,103,Brooklyn Nets
Los Angeles Lakers,Denver Nuggets,123,100,Los Angeles Lakers
Houston Rockets,Utah Jazz,115,124,Houston Rockets
Charlotte Hornets,Portland Trail Blazers,88,141,Portland Trail Blazers
New York Knicks,Boston Celtics,105,118,Boston Celtics
Dallas Mavericks,Golden State Warriors,102,126,Golden State Warriors
Los Angeles Clippers,Indiana Pacers,111,129,Indiana Pacers
Detroit Pistons,Atlanta Hawks,148,143,Detroit Pistons
Washington Wizards,Orlando Magic,90,110,Orlando Magic
Phoenix Suns,Toronto Raptors,109,127,Toronto Raptors
